"","region_id","region_name","feature_name"
"1","blood_419","PMsCtA","pdgfrb"
"2","blood_419","PMsCtA","pdgfrb"
"3","blood_419","PMsCtA","eGFP"
"4","blood_419","PMsCtA","eGFP"
"5","blood_419","PMsCtA","eGFP"
"6","blood_419","PMsCtA","eGFP"
"7","blood_419","PMsCtA","eGFP"
"8","blood_419","PMsCtA","eGFP"
"9","blood_419","PMsCtA","eGFP"
"10","blood_419","PMsCtA","eGFP"
"11","blood_419","PMsCtA","eGFP"
"12","blood_419","PMsCtA","eGFP"
"13","blood_419","PMsCtA","eGFP"
"14","blood_419","PMsCtA","eGFP"
"15","blood_419","PMsCtA","eGFP"
"16","blood_419","PMsCtA","eGFP"
"17","blood_419","PMsCtA","eGFP"
"18","blood_419","PMsCtA","eGFP"
"19","blood_419","PMsCtA","eGFP"
"20","blood_419","PMsCtA","eGFP"
"21","blood_419","PMsCtA","eGFP"
"22","blood_419","PMsCtA","eGFP"
"23","blood_419","PMsCtA","eGFP"
"24","blood_419","PMsCtA","eGFP"
"25","blood_419","PMsCtA","eGFP"
"26","blood_419","PMsCtA","eGFP"
"27","blood_419","PMsCtA","eGFP"
"28","blood_419","PMsCtA","eGFP"
"29","blood_419","PMsCtA","eGFP"
"30","blood_419","PMsCtA","eGFP"
"31","blood_419","PMsCtA","eGFP"
"32","blood_419","PMsCtA","eGFP"
"33","blood_419","PMsCtA","eGFP"
"34","blood_419","PMsCtA","eGFP"
"35","blood_419","PMsCtA","eGFP"
"36","blood_419","PMsCtA","eGFP"
"37","blood_419","PMsCtA","eGFP"
"38","blood_419","PMsCtA","eGFP"
"39","blood_419","PMsCtA","eGFP"
"40","blood_419","PMsCtA","eGFP"
"41","blood_419","PMsCtA","eGFP"
"42","blood_419","PMsCtA","cldn5a"
"43","blood_419","PMsCtA","cldn5a"
"44","blood_419","PMsCtA","cldn5a"
"45","blood_419","PMsCtA","cldn5a"
"46","blood_419","PMsCtA","cldn5a"
"47","blood_419","PMsCtA","cldn5a"
"48","blood_419","PMsCtA","cldn5a"
"49","blood_419","PMsCtA","cldn5a"
"50","blood_419","PMsCtA","stab1"
"51","blood_419","PMsCtA","stab1"
"52","blood_419","PMsCtA","stab1"
"53","blood_419","PMsCtA","stab1"
"54","blood_419","PMsCtA","stab1"
"55","blood_419","PMsCtA","slc7a5"
"56","blood_419","PMsCtA","slc7a5"
"57","blood_419","PMsCtA","slc7a5"
"58","blood_419","PMsCtA","slc7a5"
"59","blood_419","PMsCtA","slc7a5"
"60","blood_419","PMsCtA","slc7a5"
"61","blood_419","PMsCtA","slc7a5"
"62","blood_419","PMsCtA","slc7a5"
"63","blood_419","PMsCtA","slc7a5"
"64","blood_419","PMsCtA","slc7a5"
"65","blood_419","PMsCtA","slc7a5"
"66","blood_419","PMsCtA","slc7a5"
"67","blood_419","PMsCtA","slc7a5"
"68","blood_419","PMsCtA","slc7a5"
"69","blood_419","PMsCtA","slc7a5"
"70","blood_419","PMsCtA","slc7a5"
"71","blood_419","PMsCtA","slc7a5"
"72","blood_419","PMsCtA","slc7a5"
"73","blood_419","PMsCtA","slco1c1"
"74","blood_419","PMsCtA","slco1c1"
"75","blood_419","PMsCtA","spock3"
"76","blood_419","PMsCtA","spock3"
"77","blood_419","PMsCtA","spock3"
"78","blood_419","PMsCtA","ehd3"
"79","blood_419","PMsCtA","fgf4"
"80","blood_419","PMsCtA","fgf4"
"81","blood_419","PMsCtA","fgf4"
"82","blood_419","PMsCtA","prdx1"
"83","blood_419","PMsCtA","slc16a1a"
"84","blood_419","PMsCtA","slc16a1a"
"85","blood_419","PMsCtA","slc16a1a"
"86","blood_419","PMsCtA","slc16a1a"
"87","blood_419","PMsCtA","slc16a1a"
"88","blood_419","PMsCtA","slc16a1a"
"89","blood_419","PMsCtA","slc16a1a"
"90","blood_419","PMsCtA","slc16a1a"
"91","blood_419","PMsCtA","slc16a1a"
"92","blood_419","PMsCtA","slc2a1a"
"93","blood_419","PMsCtA","slc2a1a"
"94","blood_419","PMsCtA","slc2a1a"
"95","blood_419","PMsCtA","lypd6"
"96","blood_419","PMsCtA","sult2st1"
"97","blood_419","PMsCtA","zgc:158423"
"98","blood_419","PMsCtA","zgc:158423"
"99","blood_419","PMsCtA","zgc:158423"
"100","blood_419","PMsCtA","zgc:158423"
"101","blood_419","PMsCtA","zgc:158423"
"102","blood_419","PMsCtA","zgc:158423"
"103","blood_419","PMsCtA","zgc:158423"
"104","blood_419","PMsCtA","zgc:158423"
"105","blood_419","PMsCtA","zgc:158423"
"106","blood_419","PMsCtA","zgc:158423"
"107","blood_419","PMsCtA","zgc:158423"
"108","blood_419","PMsCtA","stab2"
"109","blood_419","PMsCtA","slco1d1"
"110","blood_419","PMsCtA","abcc2"
"111","blood_419","PMsCtA","abcc2"
"112","blood_419","PMsCtA","abcg2a"
"113","blood_419","PMsCtA","abcg2a"
"114","blood_419","PMsCtA","abcg2a"
"115","blood_419","PMsCtA","abcg2a"
"116","blood_419","PMsCtA","abcb4"
"117","blood_419","PMsCtA","abcb4"
"118","blood_419","PMsCtA","abcb4"
"119","blood_419","PMsCtA","pecam1"
"120","blood_419","PMsCtA","osr2"
"121","blood_419","PMsCtA","osr2"
"122","blood_419","PMsCtA","myo1hb"
"123","blood_419","PMsCtA","agtr1b"
"124","blood_419","PMsCtA","hey2"
"125","blood_419","PMsCtA","hey2"
"126","blood_419","PMsCtA","bcl6b"
"127","blood_419","PMsCtA","bcl6b"
"128","blood_419","PMsCtA","kdrl"
"129","blood_419","PMsCtA","kdrl"
"130","blood_423","Dorsal","adgrl1a"
"131","blood_423","Dorsal","eGFP"
"132","blood_423","Dorsal","eGFP"
"133","blood_423","Dorsal","eGFP"
"134","blood_423","Dorsal","slc16a1a"
"135","blood_423","Dorsal","slc16a1a"
"136","blood_423","Dorsal","slc16a1a"
"137","blood_423","Dorsal","slc16a1a"
"138","blood_423","Dorsal","zgc:158423"
"139","blood_423","Dorsal","abcc2"
"140","blood_430","MMsCtA","slc7a5"
"141","blood_430","MMsCtA","slc7a5"
"142","blood_430","MMsCtA","slc16a1a"
"143","blood_430","MMsCtA","slco1d1"
"144","blood_430","MMsCtA","osr2"
"145","blood_430","MMsCtA","aplnrb"
"146","blood_432","PrA","adgrl1a"
"147","blood_432","PrA","adgrl1a"
"148","blood_432","PrA","ehd2b"
"149","blood_432","PrA","cldn5a"
"150","blood_432","PrA","cldn5a"
"151","blood_432","PrA","stab1"
"152","blood_432","PrA","slc7a5"
"153","blood_432","PrA","slc7a5"
"154","blood_432","PrA","spock3"
"155","blood_432","PrA","spock3"
"156","blood_432","PrA","slc16a1a"
"157","blood_432","PrA","agtr1b"
"158","blood_432","PrA","zic2b"
"159","blood_433","PMsCtA","eGFP"
"160","blood_433","PMsCtA","eGFP"
"161","blood_433","PMsCtA","eGFP"
"162","blood_433","PMsCtA","eGFP"
"163","blood_433","PMsCtA","slc7a5"
"164","blood_433","PMsCtA","slc16a1a"
"165","blood_433","PMsCtA","abcb4"
