slice_region,region_id,region_area
0-0,blood_93,435.0
0-1,blood_94,321.0
0-2,blood_95,1424.0
0-3,blood_96,451.5
0-4,blood_97,1095.5
0-5,blood_98,307.0
0-6,blood_99,343.0
1-0,blood_72,210.5
1-1,blood_73,5346.5
1-2,blood_74,136.0
1-3,blood_75,1688.0
1-4,blood_76,9122.0
1-5,blood_77,174.0
1-6,blood_78,256.0
1-7,blood_79,5479.0
1-8,blood_80,545.5
1-9,blood_81,729.0
1-10,blood_82,549.5
1-11,blood_83,310.0
1-12,blood_84,171.5
1-13,blood_85,470.5
1-14,blood_86,258.5
1-15,blood_87,1721.0
1-16,blood_88,474.5
1-17,blood_89,251.5
1-18,blood_90,335.5
1-19,blood_91,274.5
1-20,blood_92,139.0
2-0,blood_19,872.0
2-1,blood_20,4209.0
2-2,blood_21,307.5
2-3,blood_22,169.0
2-4,blood_24,241.0
2-5,blood_26,238.5
2-6,blood_30,673.0
2-7,blood_31,495.5
2-8,blood_38,211.0
2-9,blood_39,234.0
2-10,blood_40,610.5
2-11,blood_42,1749.0
2-12,blood_43,213.5
2-13,blood_44,1470.0
2-14,blood_46,10675.5
2-15,blood_49,1788.0
2-16,blood_50,784.5
2-17,blood_52,744.5
2-18,blood_54,428.0
2-19,blood_56,8152.0
2-20,blood_60,685.5
2-21,blood_63,763.5
2-22,blood_65,802.5
2-23,blood_66,2351.0
2-24,blood_68,465.5
2-25,blood_71,270.0
3-0,blood_1,156.0
3-1,blood_2,1267.5
3-2,blood_3,1091.0
3-3,blood_4,2244.0
3-4,blood_5,420.0
3-5,blood_6,338.5
3-6,blood_7,257.0
3-7,blood_8,148.0
3-8,blood_9,306.0
3-9,blood_10,968.5
3-10,blood_11,1569.0
3-11,blood_12,182.0
3-12,blood_13,844.0
3-13,blood_14,463.0
3-14,blood_15,580.0
3-15,blood_16,256.0
3-16,blood_17,654.5
3-17,blood_18,728.0
3-18,blood_23,530.0
3-19,blood_25,2035.0
3-20,blood_27,380.5
3-21,blood_28,2033.0
3-22,blood_29,3365.0
3-23,blood_32,2330.0
3-24,blood_33,136.0
3-25,blood_34,948.5
3-26,blood_35,13497.5
3-27,blood_36,692.0
3-28,blood_37,363.5
3-29,blood_41,779.0
3-30,blood_45,1807.5
3-31,blood_47,244.0
3-32,blood_48,2706.0
3-33,blood_51,211.0
3-34,blood_53,364.0
3-35,blood_55,735.5
3-36,blood_57,220.0
3-37,blood_58,707.0
3-38,blood_59,5105.0
3-39,blood_61,169.0
3-40,blood_62,160.0
3-41,blood_64,635.0
3-42,blood_67,156.0
3-43,blood_69,232.0
3-44,blood_70,206.0
4-0,blood_221,420.5
4-1,blood_225,1402.5
4-2,blood_230,25409.0
4-3,blood_236,302.0
4-4,blood_242,596.0
4-5,blood_245,208.0
4-6,blood_246,424.5
4-7,blood_247,344.5
4-8,blood_248,174.0
4-9,blood_249,332.0
4-10,blood_255,912.0
4-11,blood_260,633.0
4-12,blood_263,8872.0
4-13,blood_265,368.5
4-14,blood_267,144.0
4-15,blood_268,149.5
4-16,blood_269,495.5
4-17,blood_270,606.5
4-18,blood_271,810.5
4-19,blood_273,488.0
4-20,blood_274,964.5
4-21,blood_275,1278.0
4-22,blood_276,878.5
4-23,blood_278,1926.5
