"","abcb4","abcc2","abcg2a","adgrl1a","agtr1b","aoc2","aplnrb","bcl6b","cldn5a","cxcr4b","dab2","dll4","eGFP","ehd2b","ehd3","esm1","fgf4","hey1","hey2","kdrl","lypd6","myo1hb","osr2","pdgfrb","pecam1","plvapb","prdx1","slc16a1a","slc2a1a","slc7a5","slco1c1","slco1d1","spock3","stab1","stab2","sult2st1","zgc.158423","zic2b","x","y","blood","cell_type","cor"
"cell_247",0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32568,346,"blood_2","CapEC",0.264
"cell_279",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,32271,357,"blood_4","VEC_2",0.108
"cell_292",0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,32563,363,"blood_3","UnEC",0.572
"cell_363",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,32572,382,"blood_3","CapEC",0.677
"cell_369",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,32392,382,"blood_5","VEC_2",0.147
"cell_400",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32378,390,"blood_5","AEC",0.205
"cell_401",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,32392,391,"blood_5","CapEC",0.371
"cell_430",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,32620,404,"blood_7","VEC_2",0.247
"cell_596",0,0,0,0,0,0,0,3,3,0,0,0,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,2,1,0,2,1,32679,457,"blood_9","CapEC",0.343
"cell_660",0,2,0,0,0,0,0,2,0,1,0,0,3,0,0,0,0,0,1,0,1,1,0,0,0,1,0,2,1,3,0,0,1,0,0,0,2,2,32700,481,"blood_9","CapEC",0.393
"cell_666",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,2,0,32448,482,"blood_10","CapEC",0.355
"cell_703",0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,32717,491,"blood_9","CapEC",0.282
"cell_708",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,32727,491,"blood_9","CapEC",0.283
"cell_729",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,32705,499,"blood_9","UnEC",0.478
"cell_781",1,0,1,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,32733,513,"blood_9","CapEC",0.277
"cell_782",1,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,32718,519,"blood_9","CapEC",0.327
"cell_809",0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,32565,528,"blood_14","CapEC",0.409
"cell_814",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,33291,527,"blood_16","VEC_2",0.276
"cell_815",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32185,526,"blood_12","other",-0.008
"cell_818",0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,1,0,1,1,0,0,0,0,33146,537,"blood_18","CapEC",0.137
"cell_821",0,0,1,0,0,1,1,0,0,0,0,1,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,2,0,0,1,1,0,0,0,0,33312,534,"blood_16","VEC_2",0.006
"cell_822",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32200,527,"blood_12","AEC",0.015
"cell_826",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,32735,527,"blood_9","VEC_2",0.437
"cell_834",1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,3,0,0,0,1,0,0,0,0,33420,530,"blood_17","VEC_1",0.326
"cell_860",0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,33442,539,"blood_19","VEC_1",0.4
"cell_868",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,33282,540,"blood_16","UnEC",0.392
"cell_874",0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,33238,546,"blood_16","VEC_1",0.619
"cell_886",1,0,0,0,1,2,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,33255,549,"blood_16","AngEC",0.299
"cell_887",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33298,549,"blood_16","CapEC",0.006
"cell_917",0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,33504,558,"blood_22","AEC",0.039
"cell_920",0,0,0,0,0,1,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,33279,555,"blood_16","CapEC",0.468
"cell_947",0,0,1,0,1,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,33214,564,"blood_16","AngEC",0.475
"cell_948",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,33266,564,"blood_16","CapEC",0.396
"cell_952",1,1,0,0,0,0,0,2,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,32263,571,"blood_21","other",-0.03
"cell_956",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,33295,564,"blood_16","VEC_2",0.044
"cell_961",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,33239,564,"blood_16","VEC_1",0.675
"cell_989",0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33279,571,"blood_16","VEC_2",0.064
"cell_994",0,0,0,0,0,0,0,0,0,0,1,1,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,33291,575,"blood_16","VEC_2",0.149
"cell_1001",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,0,0,1,4,1,0,2,0,33250,578,"blood_16","VEC_2",0.359
